qname,Preferred prefix,URI
nidm:NIDM_0000135,nidm_ContrastVarianceMap,http://purl.org/nidash/nidm#NIDM_0000135
nidm:NIDM_0000136,nidm_searchVolumeInUnits,http://purl.org/nidash/nidm#NIDM_0000136
nidm:NIDM_0000137,nidm_searchVolumeInVertices,http://purl.org/nidash/nidm#NIDM_0000137
nidm:NIDM_0000138,nidm_hasMaximumIntensityProjection,http://purl.org/nidash/nidm#NIDM_0000138
nidm:NIDM_0000139,nidm_coordinateVectorInVoxels,http://purl.org/nidash/nidm#NIDM_0000139
nidm:NIDM_0000140,nidm_ClusterCenterOfGravity,http://purl.org/nidash/nidm#NIDM_0000140
nidm:NIDM_0000141,nidm_expectedNumberOfClusters,http://purl.org/nidash/nidm#NIDM_0000141
nidm:NIDM_0000142,nidm_expectedNumberOfVerticesPerCluster,http://purl.org/nidash/nidm#NIDM_0000142
nidm:NIDM_0000143,nidm_expectedNumberOfVoxelsPerCluster,http://purl.org/nidash/nidm#NIDM_0000143
nidm:NIDM_0000144,nidm_ReselsPerVoxelMap,http://purl.org/nidash/nidm#NIDM_0000144
nidm:NIDM_0000145,nidm_noiseRoughnessInVoxels,http://purl.org/nidash/nidm#NIDM_0000145
nidm:NIDM_0000146,nidm_heightCriticalThresholdFDR05,http://purl.org/nidash/nidm#NIDM_0000146
nidm:NIDM_0000147,nidm_heightCriticalThresholdFWE05,http://purl.org/nidash/nidm#NIDM_0000147
nidm:NIDM_0000148,nidm_reselSizeInVoxels,http://purl.org/nidash/nidm#NIDM_0000148
nidm:NIDM_0000149,nidm_searchVolumeInResels,http://purl.org/nidash/nidm#NIDM_0000149
nidm:NIDM_0000150,nidm_LinearSplineBasisSet,http://purl.org/nidash/nidm#NIDM_0000150
nidm:NIDM_0000151,nidm_SineBasisSet,http://purl.org/nidash/nidm#NIDM_0000151
nidm:NIDM_0000156,nidm_clusterSizeInResels,http://purl.org/nidash/nidm#NIDM_0000156
nidm:NIDM_0000157,nidm_noiseFWHMInUnits,http://purl.org/nidash/nidm#NIDM_0000157
nidm:NIDM_0000158,nidm_noiseFWHMInVertices,http://purl.org/nidash/nidm#NIDM_0000158
nidm:NIDM_0000159,nidm_noiseFWHMInVoxels,http://purl.org/nidash/nidm#NIDM_0000159
nidm:NIDM_0000160,nidm_PValueUncorrected,http://purl.org/nidash/nidm#NIDM_0000160
nidm:NIDM_0000161,nidm_equivalentThreshold,http://purl.org/nidash/nidm#NIDM_0000161
nidm:NIDM_0000162,nidm_Threshold,http://purl.org/nidash/nidm#NIDM_0000162
nidm:NIDM_0000163,nidm_ContrastExplainedMeanSquareMap,http://purl.org/nidash/nidm#NIDM_0000163
